subject,strEnc,cerEnc,task,targetType,targetParam,difficulty,accuracy
A1,width,blur,vs,S,5,0,0
A1,width,blur,vs,S,3,0,0
A1,width,blur,vs,C,1,0,1
A1,width,blur,vs,S,1,0,1
A1,width,blur,vs,C,5,0,1
A1,width,blur,vs,C,3,0,0
A1,width,blur,vs,S,1,1,1
A1,width,blur,vs,C,1,1,0
A1,width,blur,vs,C,5,1,1
A1,width,blur,vs,S,3,1,1
A1,width,blur,vs,C,3,1,1
A1,width,blur,vs,S,5,1,1
A1,width,blur,cp,C,LM,0,0
A1,width,blur,cp,S,LM,0,0
A1,width,blur,cp,S,MH,0,0
A1,width,blur,cp,C,LH,0,1
A1,width,blur,cp,S,LH,0,1
A1,width,blur,cp,C,MH,0,0
A1,width,blur,cp,S,LH,1,1
A1,width,blur,cp,C,LH,1,1
A1,width,blur,cp,S,LM,1,1
A1,width,blur,cp,C,MH,1,1
A1,width,blur,cp,C,LM,1,1
A1,width,blur,cp,S,MH,1,0
A1,width,trans,cp,C,MH,0,1
A1,width,trans,cp,C,LH,0,1
A1,width,trans,cp,C,LM,0,1
A1,width,trans,cp,S,LM,0,1
A1,width,trans,cp,S,MH,0,1
A1,width,trans,cp,S,LH,0,1
A1,width,trans,cp,S,LH,1,1
A1,width,trans,cp,S,MH,1,0
A1,width,trans,cp,C,LH,1,1
A1,width,trans,cp,S,LM,1,0
A1,width,trans,cp,C,MH,1,1
A1,width,trans,cp,C,LM,1,1
A1,width,trans,vs,C,5,0,1
A1,width,trans,vs,S,3,0,0
A1,width,trans,vs,S,5,0,1
A1,width,trans,vs,C,3,0,1
A1,width,trans,vs,C,1,0,1
A1,width,trans,vs,S,1,0,1
A1,width,trans,vs,S,3,1,0
A1,width,trans,vs,C,1,1,1
A1,width,trans,vs,C,3,1,1
A1,width,trans,vs,S,1,1,1
A1,width,trans,vs,C,5,1,1
A1,width,trans,vs,S,5,1,0
A1,width,value,vs,C,3,0,0
A1,width,value,vs,S,1,0,1
A1,width,value,vs,S,3,0,0
A1,width,value,vs,C,5,0,1
