subject,strEnc,cerEnc,difficulty,targetParam,accuracy
A1,width,blur,0,5,0
A1,width,blur,0,3,0
A1,width,blur,0,1,1
A1,width,blur,1,1,1
A1,width,blur,1,3,1
A1,width,blur,1,5,1
A1,width,trans,0,3,0
A1,width,trans,0,5,1
A1,width,trans,0,1,1
A1,width,trans,1,3,0
A1,width,trans,1,1,1
A1,width,trans,1,5,0
A1,width,value,0,1,1
A1,width,value,0,3,0
A1,width,value,0,5,1
A1,width,value,1,1,0
A1,width,value,1,5,1
A1,width,value,1,3,1
A1,sat,blur,0,5,1
A1,sat,blur,0,1,0
A1,sat,blur,0,3,1
A1,sat,blur,1,1,0
A1,sat,blur,1,3,0
A1,sat,blur,1,5,1
A1,width,grain,0,3,0
A1,width,grain,0,1,1
A1,width,grain,0,5,1
A1,width,grain,1,1,1
A1,width,grain,1,3,1
A1,width,grain,1,5,0
A1,sat,trans,0,3,1
A1,sat,trans,0,5,1
A1,sat,trans,0,1,1
A1,sat,trans,1,5,0
A1,sat,trans,1,3,1
A1,sat,trans,1,1,1
A1,sat,value,0,5,0
A1,sat,value,0,1,1
A1,sat,value,0,3,0
A1,sat,value,1,1,1
A1,sat,value,1,5,1
A1,sat,value,1,3,1
A1,hue,blur,0,5,1
A1,hue,blur,0,1,1
A1,hue,blur,0,3,0
A1,hue,blur,1,1,0
A1,hue,blur,1,5,1
A1,hue,blur,1,3,0
A1,sat,grain,0,3,1
A1,sat,grain,0,5,0
A1,sat,grain,0,1,1
A1,sat,grain,1,3,0
A1,sat,grain,1,5,0
A1,sat,grain,1,1,1
A1,hue,trans,0,5,0
A1,hue,trans,0,1,1
A1,hue,trans,0,3,0
A1,hue,trans,1,5,1
A1,hue,trans,1,1,0
A1,hue,trans,1,3,1
A1,hue,value,0,1,1
A1,hue,value,0,5,0
A1,hue,value,0,3,1
A1,hue,value,1,3,1
A1,hue,value,1,5,1
A1,hue,value,1,1,0
A1,hue,grain,0,5,1
A1,hue,grain,0,1,1
A1,hue,grain,0,3,1
A1,hue,grain,1,5,0
A1,hue,grain,1,3,0
A1,hue,grain,1,1,0
A2,width,blur,0,3,0
A2,width,blur,0,5,1
A2,width,blur,0,1,1
A2,width,blur,1,1,1
A2,width,blur,1,3,1
A2,width,blur,1,5,0
A2,width,trans,0,1,0
A2,width,trans,0,3,1
A2,width,trans,0,5,0
A2,width,trans,1,5,1
A2,width,trans,1,1,0
A2,width,trans,1,3,0
A2,width,value,0,5,0
A2,width,value,0,1,1
A2,width,value,0,3,1
A2,width,value,1,1,1
A2,width,value,1,5,1
A2,width,value,1,3,1
A2,sat,blur,0,3,1
A2,sat,blur,0,1,0
A2,sat,blur,0,5,0
A2,sat,blur,1,5,1
A2,sat,blur,1,3,0
A2,sat,blur,1,1,0
A2,width,grain,0,3,0
A2,width,grain,0,5,1
A2,width,grain,0,1,1
A2,width,grain,1,3,1
A2,width,grain,1,1,0
A2,width,grain,1,5,1
A2,sat,trans,0,3,1
A2,sat,trans,0,5,0
A2,sat,trans,0,1,1
A2,sat,trans,1,1,0
A2,sat,trans,1,5,0
A2,sat,trans,1,3,1
A2,sat,value,0,3,1
A2,sat,value,0,5,0
A2,sat,value,0,1,1
A2,sat,value,1,5,1
A2,sat,value,1,3,1
A2,sat,value,1,1,1
A2,hue,blur,0,5,1
A2,hue,blur,0,1,1
A2,hue,blur,0,3,0
A2,hue,blur,1,3,0
A2,hue,blur,1,1,0
A2,hue,blur,1,5,1
A2,sat,grain,0,3,1
A2,sat,grain,0,5,0
A2,sat,grain,0,1,1
A2,sat,grain,1,5,0
A2,sat,grain,1,1,1
A2,sat,grain,1,3,0
A2,hue,trans,0,1,1
A2,hue,trans,0,5,0
A2,hue,trans,0,3,0
A2,hue,trans,1,1,0
A2,hue,trans,1,5,0
A2,hue,trans,1,3,1
A2,hue,value,0,5,1
A2,hue,value,0,1,1
A2,hue,value,0,3,1
A2,hue,value,1,5,0
A2,hue,value,1,3,1
A2,hue,value,1,1,0
A2,hue,grain,0,3,1
A2,hue,grain,0,1,1
A2,hue,grain,0,5,1
A2,hue,grain,1,5,1
A2,hue,grain,1,3,0
A2,hue,grain,1,1,0
A3,width,trans,0,1,0
A3,width,trans,0,3,0
A3,width,trans,0,5,1
A3,width,trans,1,5,0
A3,width,trans,1,1,0
A3,width,trans,1,3,1
A3,sat,blur,0,3,0
A3,sat,blur,0,1,0
A3,sat,blur,0,5,1
A3,sat,blur,1,3,0
A3,sat,blur,1,5,1
A3,sat,blur,1,1,0
A3,width,blur,0,1,1
A3,width,blur,0,3,0
A3,width,blur,0,5,1
A3,width,blur,1,5,0
A3,width,blur,1,3,0
A3,width,blur,1,1,1
A3,sat,trans,0,5,0
A3,sat,trans,0,3,1
A3,sat,trans,0,1,0
A3,sat,trans,1,3,0
A3,sat,trans,1,1,1
A3,sat,trans,1,5,1
A3,width,value,0,3,0
A3,width,value,0,1,1
A3,width,value,0,5,1
A3,width,value,1,3,1
A3,width,value,1,5,0
A3,width,value,1,1,0
A3,hue,blur,0,1,1
A3,hue,blur,0,3,1
A3,hue,blur,0,5,0
A3,hue,blur,1,5,1
A3,hue,blur,1,1,1
A3,hue,blur,1,3,1
A3,width,grain,0,5,1
A3,width,grain,0,1,0
A3,width,grain,0,3,1
A3,width,grain,1,5,0
A3,width,grain,1,3,1
A3,width,grain,1,1,1
A3,hue,trans,0,5,1
A3,hue,trans,0,1,0
A3,hue,trans,0,3,0
A3,hue,trans,1,1,1
A3,hue,trans,1,5,0
A3,hue,trans,1,3,0
A3,sat,value,0,1,1
A3,sat,value,0,5,1
A3,sat,value,0,3,0
A3,sat,value,1,3,1
A3,sat,value,1,1,1
A3,sat,value,1,5,1
A3,hue,grain,0,5,1
A3,hue,grain,0,1,1
A3,hue,grain,0,3,0
A3,hue,grain,1,1,0
A3,hue,grain,1,3,1
A3,hue,grain,1,5,1
A3,sat,grain,0,3,1
A3,sat,grain,0,1,1
A3,sat,grain,0,5,1
A3,sat,grain,1,1,0
A3,sat,grain,1,5,0
A3,sat,grain,1,3,0
A3,hue,value,0,3,1
A3,hue,value,0,1,0
A3,hue,value,0,5,0
A3,hue,value,1,5,1
A3,hue,value,1,3,0
A3,hue,value,1,1,0
A4,sat,blur,0,3,1
A4,sat,blur,0,5,1
A4,sat,blur,0,1,1
A4,sat,blur,1,3,0
A4,sat,blur,1,5,0
A4,sat,blur,1,1,1
A4,sat,trans,0,5,0
A4,sat,trans,0,3,1
A4,sat,trans,0,1,1
A4,sat,trans,1,1,0
A4,sat,trans,1,5,1
A4,sat,trans,1,3,0
A4,width,trans,0,5,1
A4,width,trans,0,1,0
A4,width,trans,0,3,1
A4,width,trans,1,3,1
A4,width,trans,1,1,1
A4,width,trans,1,5,1
A4,hue,blur,0,5,0
A4,hue,blur,0,3,1
A4,hue,blur,0,1,1
A4,hue,blur,1,5,0
A4,hue,blur,1,3,0
A4,hue,blur,1,1,0
A4,width,blur,0,1,0
A4,width,blur,0,5,0
A4,width,blur,0,3,0
A4,width,blur,1,5,0
A4,width,blur,1,3,1
A4,width,blur,1,1,0
A4,hue,trans,0,1,1
A4,hue,trans,0,5,0
A4,hue,trans,0,3,1
A4,hue,trans,1,1,1
A4,hue,trans,1,5,1
A4,hue,trans,1,3,1
A4,width,value,0,5,1
A4,width,value,0,3,0
A4,width,value,0,1,1
A4,width,value,1,1,0
A4,width,value,1,3,0
A4,width,value,1,5,0
A4,hue,grain,0,1,1
A4,hue,grain,0,5,1
A4,hue,grain,0,3,1
A4,hue,grain,1,1,0
A4,hue,grain,1,3,0
A4,hue,grain,1,5,0
A4,width,grain,0,3,1
A4,width,grain,0,5,0
A4,width,grain,0,1,1
A4,width,grain,1,5,1
A4,width,grain,1,1,0
A4,width,grain,1,3,0
A4,hue,value,0,5,0
A4,hue,value,0,3,0
A4,hue,value,0,1,1
A4,hue,value,1,1,0
A4,hue,value,1,3,1
A4,hue,value,1,5,1
A4,sat,value,0,5,1
A4,sat,value,0,1,1
A4,sat,value,0,3,1
A4,sat,value,1,1,1
A4,sat,value,1,5,0
A4,sat,value,1,3,1
A4,sat,grain,0,1,0
A4,sat,grain,0,3,0
A4,sat,grain,0,5,0
A4,sat,grain,1,1,0
A4,sat,grain,1,3,1
A4,sat,grain,1,5,1
A5,width,trans,0,1,1
A5,width,trans,0,5,0
A5,width,trans,0,3,0
A5,width,trans,1,3,1
A5,width,trans,1,5,1
A5,width,trans,1,1,0
A5,sat,blur,0,3,0
A5,sat,blur,0,1,0
A5,sat,blur,0,5,0
A5,sat,blur,1,1,1
A5,sat,blur,1,3,0
A5,sat,blur,1,5,1
A5,width,blur,0,3,0
A5,width,blur,0,5,1
A5,width,blur,0,1,0
A5,width,blur,1,3,1
A5,width,blur,1,1,1
A5,width,blur,1,5,0
A5,sat,trans,0,1,0
A5,sat,trans,0,5,0
A5,sat,trans,0,3,1
A5,sat,trans,1,5,1
A5,sat,trans,1,1,0
A5,sat,trans,1,3,0
A5,width,value,0,3,0
A5,width,value,0,1,0
A5,width,value,0,5,1
A5,width,value,1,3,1
A5,width,value,1,5,0
A5,width,value,1,1,0
A5,hue,blur,0,1,1
A5,hue,blur,0,5,0
A5,hue,blur,0,3,1
A5,hue,blur,1,5,1
A5,hue,blur,1,3,1
A5,hue,blur,1,1,1
A5,width,grain,0,1,1
A5,width,grain,0,3,1
A5,width,grain,0,5,1
A5,width,grain,1,3,1
A5,width,grain,1,1,1
A5,width,grain,1,5,1
A5,hue,trans,0,1,0
A5,hue,trans,0,3,0
A5,hue,trans,0,5,1
A5,hue,trans,1,5,1
A5,hue,trans,1,3,0
A5,hue,trans,1,1,1
A5,sat,value,0,3,1
A5,sat,value,0,5,0
A5,sat,value,0,1,1
A5,sat,value,1,3,0
A5,sat,value,1,1,1
A5,sat,value,1,5,0
A5,hue,grain,0,3,0
A5,hue,grain,0,1,1
A5,hue,grain,0,5,1
A5,hue,grain,1,1,0
A5,hue,grain,1,5,1
A5,hue,grain,1,3,1
A5,sat,grain,0,1,1
A5,sat,grain,0,3,1
A5,sat,grain,0,5,1
A5,sat,grain,1,5,0
A5,sat,grain,1,1,0
A5,sat,grain,1,3,0
A5,hue,value,0,1,1
A5,hue,value,0,3,1
A5,hue,value,0,5,0
A5,hue,value,1,5,1
A5,hue,value,1,1,1
A5,hue,value,1,3,0
A6,sat,trans,0,3,0
A6,sat,trans,0,5,0
A6,sat,trans,0,1,1
A6,sat,trans,1,5,0
A6,sat,trans,1,1,1
A6,sat,trans,1,3,0
A6,hue,blur,0,1,1
A6,hue,blur,0,5,1
A6,hue,blur,0,3,1
A6,hue,blur,1,1,0
A6,hue,blur,1,5,1
A6,hue,blur,1,3,0
A6,sat,blur,0,5,0
A6,sat,blur,0,1,0
A6,sat,blur,0,3,1
A6,sat,blur,1,5,1
A6,sat,blur,1,1,1
A6,sat,blur,1,3,0
A6,hue,trans,0,3,1
A6,hue,trans,0,5,0
A6,hue,trans,0,1,1
A6,hue,trans,1,5,0
A6,hue,trans,1,3,0
A6,hue,trans,1,1,0
A6,width,trans,0,5,1
A6,width,trans,0,1,1
A6,width,trans,0,3,1
A6,width,trans,1,3,1
A6,width,trans,1,5,0
A6,width,trans,1,1,1
A6,hue,grain,0,1,1
A6,hue,grain,0,3,1
A6,hue,grain,0,5,1
A6,hue,grain,1,3,1
A6,hue,grain,1,1,1
A6,hue,grain,1,5,1
A6,width,blur,0,5,0
A6,width,blur,0,1,1
A6,width,blur,0,3,0
A6,width,blur,1,5,1
A6,width,blur,1,1,1
A6,width,blur,1,3,1
A6,hue,value,0,5,0
A6,hue,value,0,1,0
A6,hue,value,0,3,0
A6,hue,value,1,5,1
A6,hue,value,1,3,0
A6,hue,value,1,1,1
A6,width,value,0,1,1
A6,width,value,0,3,0
A6,width,value,0,5,1
A6,width,value,1,5,1
A6,width,value,1,3,1
A6,width,value,1,1,1
A6,sat,grain,0,5,0
A6,sat,grain,0,1,1
A6,sat,grain,0,3,0
A6,sat,grain,1,1,1
A6,sat,grain,1,3,0
A6,sat,grain,1,5,0
A6,width,grain,0,1,1
A6,width,grain,0,5,1
A6,width,grain,0,3,1
A6,width,grain,1,1,1
A6,width,grain,1,5,0
A6,width,grain,1,3,1
A6,sat,value,0,5,1
A6,sat,value,0,1,1
A6,sat,value,0,3,0
A6,sat,value,1,3,0
A6,sat,value,1,1,0
A6,sat,value,1,5,1
A7,sat,blur,0,5,0
A7,sat,blur,0,1,0
A7,sat,blur,0,3,1
A7,sat,blur,1,1,0
A7,sat,blur,1,3,0
A7,sat,blur,1,5,1
A7,sat,trans,0,5,0
A7,sat,trans,0,3,1
A7,sat,trans,0,1,1
A7,sat,trans,1,3,1
A7,sat,trans,1,5,1
A7,sat,trans,1,1,0
A7,width,trans,0,3,0
A7,width,trans,0,1,1
A7,width,trans,0,5,0
A7,width,trans,1,1,0
A7,width,trans,1,5,0
A7,width,trans,1,3,0
A7,hue,blur,0,3,1
A7,hue,blur,0,5,0
A7,hue,blur,0,1,1
A7,hue,blur,1,1,0
A7,hue,blur,1,5,0
A7,hue,blur,1,3,0
A7,width,blur,0,5,1
A7,width,blur,0,1,1
A7,width,blur,0,3,1
A7,width,blur,1,3,0
A7,width,blur,1,1,1
A7,width,blur,1,5,1
A7,hue,trans,0,5,1
A7,hue,trans,0,3,0
A7,hue,trans,0,1,0
A7,hue,trans,1,1,1
A7,hue,trans,1,5,1
A7,hue,trans,1,3,1
A7,width,value,0,1,0
A7,width,value,0,3,0
A7,width,value,0,5,0
A7,width,value,1,3,1
A7,width,value,1,1,0
A7,width,value,1,5,1
A7,hue,grain,0,5,0
A7,hue,grain,0,1,0
A7,hue,grain,0,3,1
A7,hue,grain,1,1,0
A7,hue,grain,1,3,0
A7,hue,grain,1,5,0
A7,width,grain,0,5,0
A7,width,grain,0,1,0
A7,width,grain,0,3,0
A7,width,grain,1,5,1
A7,width,grain,1,3,1
A7,width,grain,1,1,1
A7,hue,value,0,5,1
A7,hue,value,0,3,1
A7,hue,value,0,1,1
A7,hue,value,1,3,1
A7,hue,value,1,1,0
A7,hue,value,1,5,1
A7,sat,value,0,1,1
A7,sat,value,0,3,0
A7,sat,value,0,5,0
A7,sat,value,1,3,1
A7,sat,value,1,1,1
A7,sat,value,1,5,0
A7,sat,grain,0,1,0
A7,sat,grain,0,3,1
A7,sat,grain,0,5,1
A7,sat,grain,1,1,1
A7,sat,grain,1,5,0
A7,sat,grain,1,3,1
P2,width,value,0,1,0
P2,width,value,0,3,1
P2,width,value,0,5,1
P2,width,value,1,5,1
P2,width,value,1,3,1
P2,width,value,1,1,0
P2,width,blur,0,3,1
P2,width,blur,0,1,0
P2,width,blur,0,5,1
P2,width,blur,1,5,1
P2,width,blur,1,3,0
P2,width,blur,1,1,1
P2,width,grain,0,3,0
P2,width,grain,0,1,1
P2,width,grain,0,5,1
P2,width,grain,1,1,0
P2,width,grain,1,3,0
P2,width,grain,1,5,1
P2,width,trans,0,5,1
P2,width,trans,0,1,1
P2,width,trans,0,3,0
P2,width,trans,1,5,1
P2,width,trans,1,3,0
P2,width,trans,1,1,1
P2,sat,value,0,5,1
P2,sat,value,0,1,1
P2,sat,value,0,3,0
P2,sat,value,1,5,1
P2,sat,value,1,3,1
P2,sat,value,1,1,1
P2,sat,blur,0,5,0
P2,sat,blur,0,3,1
P2,sat,blur,0,1,1
P2,sat,blur,1,3,1
P2,sat,blur,1,5,0
P2,sat,blur,1,1,1
P2,sat,grain,0,1,1
P2,sat,grain,0,3,1
P2,sat,grain,0,5,0
P2,sat,grain,1,5,1
P2,sat,grain,1,3,1
P2,sat,grain,1,1,1
P2,sat,trans,0,3,0
P2,sat,trans,0,1,1
P2,sat,trans,0,5,1
P2,sat,trans,1,1,0
P2,sat,trans,1,3,0
P2,sat,trans,1,5,0
P2,hue,value,0,3,1
P2,hue,value,0,1,0
P2,hue,value,0,5,0
P2,hue,value,1,5,1
P2,hue,value,1,1,1
P2,hue,value,1,3,0
P2,hue,blur,0,5,0
P2,hue,blur,0,1,1
P2,hue,blur,0,3,0
P2,hue,blur,1,1,0
P2,hue,blur,1,5,1
P2,hue,blur,1,3,1
P2,hue,grain,0,5,1
P2,hue,grain,0,1,1
P2,hue,grain,0,3,0
P2,hue,grain,1,5,0
P2,hue,grain,1,3,0
P2,hue,grain,1,1,0
P2,hue,trans,0,5,0
P2,hue,trans,0,1,0
P2,hue,trans,0,3,0
P2,hue,trans,1,3,0
P2,hue,trans,1,5,1
P2,hue,trans,1,1,0
